Text_lang,Text1_lang,ID,LanguageID,ConditionID,EmotesID,Flags,ChatBubbleDurationMs,VoiceOverPriorityID,SoundKitID[0],SoundKitID[1],EmoteID[0],EmoteID[1],EmoteID[2],EmoteDelay[0],EmoteDelay[1],EmoteDelay[2]
救命啊！我动不了了！,,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0
自毁系统程序启动。,,3927,0,0,0,69,0,0,0,0,0,0,0,0,0,0
让火焰净化一切吧！,,9426,0,0,0,71,0,0,8046,0,0,0,0,0,0,0
,来，这边走。,15708,7,0,0,68,0,0,0,44118,0,0,0,0,0,0
这远远不够，兽人！下马投降，否则就是死路一条！,这远远不够，兽人！下马投降，否则就是死路一条！,33630,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
,别挡道，蠢货！,33631,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
生命的凋零，不可避免。,,33996,0,0,0,65,0,0,0,0,0,0,0,0,0,0
我必须这么做。,,33997,0,0,0,65,0,0,0,0,0,0,0,0,0,0
你们没有时间了！,,34001,0,0,0,65,0,0,0,0,0,0,0,0,0,0
也许正是这种不完美，才使你们获得了自由的意志，并因此有能力改变那些看起来不可避免的必然命运。泰坦所创造的许多完美生命体都遭遇了失败，而你们仍能继续前行。,,34012,0,0,0,65,0,0,0,0,0,0,0,0,0,0
,船长！右舷下方发现船骸，好像还有幸存者！,39672,0,0,0,71,0,0,0,20916,0,0,0,0,0,0
集中精神！很快就要和兽人交手了。,,41964,0,0,1,71,0,0,21208,0,0,0,0,0,0,0
集合！,,41984,0,0,22,71,0,0,21205,0,0,0,0,0,0,0
海平线上的岛就是我们的目的地！,,42092,0,0,1,71,0,0,21185,0,0,0,0,0,0,0
我们将在那里履行使命——为了国王，为了暴风城和她的子民们……,,42093,0,0,1,71,0,0,21186,0,0,0,0,0,0,0
地狱咆哮派来了他最强的战士。我们要确保他们全都回不了家……,,42095,0,0,1,71,0,0,21188,0,0,0,0,0,0,0
暴风城永不陷落！,,42097,0,0,53,71,0,0,21190,0,0,0,0,0,0,0
,去吧，我的纳迦！迎接强大的猎潮者来到艾泽拉斯。,42407,0,0,1,118,0,0,0,18874,0,0,0,0,0,0
你和你那些长鳞的虫子根本不是我的对手……,,42434,0,0,0,118,0,0,19457,0,0,0,0,0,0,0
,蠢货！今天就是你的死期！,42435,0,0,15,118,0,0,0,18875,0,0,0,0,0,0
你们太过火了，毒蛇。你们会为这次入侵付出惨重的代价！,,42518,0,0,0,118,0,0,19463,0,0,0,0,0,0,0
,过来，奴仆们！开始攻击！,42545,0,0,15,118,0,0,0,18876,0,0,0,0,0,0
,现在！放出海怪！,44211,0,0,15,118,0,0,0,18877,0,0,0,0,0,0
啊……,,44212,0,0,0,118,0,0,19464,0,0,0,0,0,0,0
,跟着我，宠物们！耐普图隆的国度终于成了我们的掌中之物！,44213,0,0,15,118,0,0,0,18878,0,0,0,0,0,0
现在怎么办，老朋友？,,44214,0,0,1,118,0,0,21217,0,0,0,0,0,0,0
我们遭受了惨重的失败。,,44215,0,0,396,118,0,0,19526,0,0,0,0,0,0,0
我们世界未来的希望，变得渺茫了。,,44216,0,0,396,118,0,0,19527,0,0,0,0,0,0,0
必须让萨尔知道这一切。,,44217,0,0,396,118,0,0,19528,0,0,0,0,0,0,0
他会指引我们……,,44218,0,0,396,118,0,0,19529,0,0,0,0,0,0,0
埃鲁纳克！不——！,,44219,0,0,1,118,0,0,21218,0,0,0,0,0,0,0
啊！！！,,44220,0,0,396,118,0,0,19530,0,0,0,0,0,0,0
,你是人民真正的英雄，利亚姆。不像其他的贵族，我们将让他们付出代价。,44223,0,0,0,71,0,0,0,19686,66,0,0,0,0,0
好吧，萨满，现在呢？,,44225,0,0,1,118,0,0,21319,0,0,0,0,0,0,0
埃鲁纳克，在你身后！,,44226,0,0,1,118,0,0,21320,0,0,0,0,0,0,0
愿圣光祝福我们先祖的灵魂，他们挑选了我的儿子安息在这片应允的神圣土地上。,,50471,0,0,1,71,0,0,19713,0,0,0,0,0,0,0
他属于这里，这片被吉尔尼斯的英雄和爱国者所环绕的土地。,,50472,0,0,1,71,0,0,19714,0,0,0,0,0,0,0
我们一定会回来的，利亚姆，我向你发誓。,,50473,0,0,66,71,0,0,19715,0,0,0,0,0,0,0
吉尔尼斯会铭记你的勇气，利亚姆。,,50477,0,0,66,71,0,0,19497,0,0,0,0,0,0,0
$n，很抱歉欺骗了你，但这实属无奈之举。,,56129,0,0,0,70,0,0,28571,0,0,0,0,0,0,0
数千年来，我们从未遇见过你这样的人。,,56130,0,13211,0,70,0,0,28572,0,0,0,0,0,0,0
所以我得先探明你的心意，这非常重要。,,56131,0,0,0,70,0,0,28573,0,0,0,0,0,0,0
跟我来，小家伙。我想给你看一样东西。,,56154,0,0,0,70,0,0,28574,0,0,0,0,0,0,0
我们要把这地方炸成个大坑，呵呵。,,57715,0,0,0,70,0,0,30625,0,5,0,0,0,0,0
[NOTE: Many placeholder visuals in this cinematic. Expecting Observatory WMO & charge up visuals.],,57899,0,0,0,70,0,0,0,0,0,0,0,0,0,0
跑吧跑吧，光板儿！要是被我抓住，我就把你吞进肚子里去！,,58170,0,0,0,70,0,0,0,0,0,0,0,0,0,0
我安度因·乌瑞恩是暴风城的王子。我绝不能死在这里。绝不！,,58171,0,0,0,70,0,0,27577,0,0,0,0,0,0,0
为了潘达利亚！,,59411,0,15760,4,70,0,0,31905,0,0,0,0,0,0,0
,成功了！伤口正在愈合！,60365,0,0,1,69,0,0,0,27417,0,0,0,0,0,0
,我们孤注一掷，但成功了。神真子会好起来的。,60627,0,0,1,69,0,0,0,27418,0,0,0,0,0,0
我们的故事发生在很久很久之前，荒暴无道的皇帝阗在位的时候。,,61462,0,0,0,68,0,0,0,0,1,0,0,0,0,0
这位皇帝需要一些可靠的信使和转运人。,,61463,0,0,0,68,0,0,0,0,1,0,0,0,0,0
他找来了一个古怪的洞穴小生物，并用锦绣谷的力量改造了它。,,61464,0,0,0,68,0,0,0,0,1,0,0,0,0,0
他所创造出来的，就是“土地精”。,,61465,0,0,0,68,0,0,0,0,1,0,0,0,0,0
我们来谈谈力量的本质。我的手里握着一把剑。我问你：是谁支配着力量？,,61470,0,0,0,68,0,0,30130,0,1,0,0,0,0,0
是我，因为我拿着剑！,,61471,0,0,0,68,0,0,30131,0,1,0,0,0,0,0
一个土地精可以负担相当于其本身体重五倍的重物。他们从不流汗，还有着超凡的嗅觉。,,61495,0,0,0,68,0,0,0,0,1,0,0,0,0,0
他们的脑袋比花岗岩还要坚硬。而最奇怪的是，他们好像统统都是亲戚。,,61496,0,0,0,68,0,0,0,0,1,0,0,0,0,0
古代熊猫人英雄们解放了被奴役的土地精。,,61497,0,0,0,68,0,0,0,0,1,0,0,0,0,0
野牛人督军露脸了！来吧，让我们做个了结！,,61567,0,0,0,70,0,0,29776,0,0,0,0,0,0,0
直到今天，他们依然在高耸入云的昆莱山上扮演着商人、信使、向导和送货人的角色。,,61643,0,0,0,68,0,0,0,0,1,0,0,0,0,0
他们是非常迷信的种族，经常以他们最喜爱的护身符——或者叫“幸运符”为名。,,61647,0,0,0,68,0,0,0,0,1,0,0,0,0,0
土地精质疑一切他们闻不到的运气，所以带上一口袋粪去见陌生的土地精是个不错的选择。,,61649,0,0,0,68,0,0,0,0,1,0,0,0,0,0
真是个奇怪的种族。,,61650,0,0,0,68,0,0,0,0,1,0,0,0,0,0
几千年前，魔古族掌握着所有的力量，他们残暴地统治着这片土地。但是随着帝国的不断发展壮大，他们需要维持秩序并加以控制。,,61798,0,0,0,68,0,0,30132,0,1,0,0,0,0,0
他们利用山谷的力量以及他们独有的血肉塑造魔法，将一种凶猛的蜥蜴改造成了具有生命的武器。他们打造了一支军队，一支蜥蜴人大军。这是一群嗜血的怪兽，他们的作用就是巩固皇权。,,61799,0,0,0,68,0,0,30133,0,1,0,0,0,0,0
呃，但是创造一种有生命的武器会出现一个问题，你知道吗？,,61800,0,0,0,68,0,0,30134,0,1,0,0,0,0,0
现在是谁在支配着力量？,,61801,0,0,0,68,0,0,30135,0,1,0,0,0,0,0
