ID,Name_lang,Description_lang,ToastDescription_lang,CovenantID,Level,Icon,Flags,UiOrder,ItemID,SpellID,MountID,TransmogID,TransmogSetID,CharTitlesID,GarrFollowerID,TransmogIllusionID,Field_12_0_0_63534_016,QuestID,PlayerConditionID
18,,你可以和看守者鐘花交談以招募這位冒險者。,解鎖新的冒險者,3,4,0,0,0,0,0,0,0,0,0,1283,0,8,64508,0
19,靈魂之絆升級：妮亞,解鎖妮亞第3排的靈魂之絆特長。,解鎖妮亞的靈魂之絆特長,3,3,3684884,2,0,0,0,0,0,0,0,0,0,0,64508,0
22,靈魂之絆升級：妮亞,解鎖妮亞第4排的靈魂之絆特長。,解鎖妮亞的靈魂之絆特長,3,7,3684884,2,0,0,0,0,0,0,0,0,0,0,64508,0
23,,你可以和看守者鐘花交談以招募這位冒險者。,解鎖新的冒險者,3,12,0,0,0,0,0,0,0,0,0,1285,0,8,64508,0
25,靈魂之絆升級：織夢者,解鎖織夢者第4排的靈魂之絆特長。,解鎖織夢者的靈魂之絆特長,3,9,3684882,2,0,0,0,0,0,0,0,0,0,0,64508,0
28,靈魂之絆升級：織夢者,解鎖織夢者第5排的靈魂之絆特長。,解鎖織夢者的靈魂之絆特長,3,13,3684882,2,1,0,0,0,0,0,0,0,0,0,0,0
29,,這段取回的記憶將開放從名望軍需官購買。,解鎖新的取回的記憶,3,14,0,0,0,183249,0,0,0,0,0,0,0,1,64508,0
31,靈魂之絆升級：妮亞,解鎖妮亞第5排的靈魂之絆特長。,解鎖妮亞的靈魂之絆特長,3,10,3684884,2,0,0,0,0,0,0,0,0,0,0,64508,0
32,,你可以和看守者鐘花交談以招募這位冒險者。,解鎖新的冒險者,3,17,0,0,1,0,0,0,0,0,0,1284,0,8,0,0
33,世界任務獎勵,提高世界任務獎勵的物品等級。,提高世界任務物品等級上限,3,10,236668,0,1,0,0,0,0,0,0,0,0,0,63220,88686
35,,,解鎖新的外觀,3,6,0,0,0,0,0,0,113562,0,0,0,0,4,64508,0
36,,可向名望軍需官購買幻象：荒野之魂。,解鎖幻象：荒野之魂,3,36,0,0,0,0,0,0,0,0,0,0,71,6,64508,0
