ID,ClientPrefix,ClientFileString,Name_lang,Name_female_lang,Name_lowercase_lang,Name_female_lowercase_lang,Lore_name_lang,Lore_name_female_lang,Lore_name_lower_lang,Lore_name_lower_female_lang,LoreDescription_lang,Short_name_lang,Short_name_female_lang,Short_name_lower_lang,Short_name_lower_female_lang,Flags,FactionID,CinematicSequenceID,ResSicknessSpellID,SplashSoundID,CreateScreenFileDataID,SelectScreenFileDataID,LowResScreenFileDataID,AlteredFormStartVisualKitID[0],AlteredFormStartVisualKitID[1],AlteredFormStartVisualKitID[2],AlteredFormFinishVisualKitID[0],AlteredFormFinishVisualKitID[1],AlteredFormFinishVisualKitID[2],HeritageArmorAchievementID,StartingLevel,UiDisplayOrder,PlayableRaceBit,TransmogrifyDisabledSlotMask,AlteredFormCustomizeOffsetFallback[0],AlteredFormCustomizeOffsetFallback[1],AlteredFormCustomizeOffsetFallback[2],AlteredFormCustomizeRotationFallback,Field_9_1_0_38312_030[0],Field_9_1_0_38312_030[1],Field_9_1_0_38312_030[2],Field_9_1_0_38312_031[0],Field_9_1_0_38312_031[1],Field_9_1_0_38312_031[2],BaseLanguage,CreatureType,Alliance,Race_related,UnalteredVisualRaceID,DefaultClassID,NeutralRaceID,MaleModelFallbackRaceID,MaleModelFallbackSex,FemaleModelFallbackRaceID,FemaleModelFallbackSex,MaleTextureFallbackRaceID,MaleTextureFallbackSex,FemaleTextureFallbackRaceID,FemaleTextureFallbackSex,HelmetAnimScalingRaceID,UnalteredVisualCustomizationRaceID
1,Hu,Human,人类,人类,人类,人类,人类,,人类,,暴风城高贵的人类是联盟的先锋，他们身先士卒，守护着艾泽拉斯。,人类,,人类,,6292620,1,81,15007,1096,623712,131948,651555,0,0,0,47268,47268,47268,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0,2,0,1,0,0,-1,0,-1,0,-1,0,3,0,0
2,Or,Orc,兽人,兽人,兽人,兽人,兽人,,兽人,,强大的兽人原本是想来征服艾泽拉斯，而如今则在努力复兴古老的荣耀和传统。,兽人,,兽人,,6291596,2,21,15007,1096,623714,132003,651558,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0.077,0,0,0.07,0,1,7,1,1,0,1,0,0,-1,0,-1,0,-1,0,-1,0,0
3,Dw,Dwarf,矮人,矮人,矮人,矮人,矮人,,矮人,,强健的铁炉堡矮人以热爱冒险著称，他们喜欢钻研这个世界上的古老奥秘。,矮人,,矮人,,6291596,3,41,15007,1090,623712,131940,651555,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7,7,0,8,0,3,0,0,-1,0,-1,0,-1,0,-1,0,0
4,Ni,NightElf,暗夜精灵,暗夜精灵,暗夜精灵,暗夜精灵,卡多雷,,卡多雷,,神秘的暗夜精灵守护着艾泽拉斯的荒野，与那些想破坏大自然的势力进行着斗争。,精灵,,精灵,,6291588,4,61,15007,1096,623712,131993,651555,0,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,0,0,0,0,7,7,0,5,0,11,0,0,-1,0,-1,0,-1,0,-1,0,0
5,Sc,Scourge,亡灵,亡灵,亡灵,亡灵,被遗忘者,,被遗忘者,,被遗忘者是被复活的亡灵，他们在一片萦绕着黑暗过往的废墟中勇敢地塑造出了未来。,亡灵,,亡灵,,6291596,5,2,15007,1096,623714,132035,651558,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,0,0.1,0,0,0.1,0,1,7,1,4,0,9,0,0,-1,0,-1,0,-1,0,-1,0,0
6,Ta,Tauren,牛头人,牛头人,牛头人,牛头人,舒哈鲁,,舒哈鲁,,魁梧的牛头人侍奉着亲爱的大地母亲，守护着自然的平衡。,牛头人,,牛头人,,6291590,6,141,15007,1096,623714,132046,651558,0,0,0,0,0,0,0,1,0,5,0,0,0,0,0,0,0.085,0,0,0.085,0,1,7,1,7,0,7,0,0,-1,0,-1,0,-1,0,-1,0,0
7,Gn,Gnome,侏儒,侏儒,侏儒,侏儒,侏儒,,侏儒,,小巧而聪慧的侏儒因其创造的无数科技奇迹而闻名于世。,侏儒,,侏儒,,6291596,115,101,15007,1096,623712,430171,651555,0,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,7,7,0,6,0,9,0,0,-1,0,-1,0,-1,0,-1,0,0
8,Tr,Troll,巨魔,巨魔,巨魔,巨魔,暗矛巨魔,,暗矛巨魔,,暗矛巨魔被其他部族赶出了丛林中的故土，随后在强大的部落中找到了盟友。,巨魔,,巨魔,,6291598,116,121,15007,1096,623714,429097,651558,0,0,0,0,0,0,0,1,0,7,0,0,0,0,0,0,0.095,0,0,0.095,0,1,7,1,3,0,7,0,0,-1,0,-1,0,-1,0,-1,0,0
9,Go,Goblin,地精,地精,地精,地精,锈水地精,,锈水地精,,地精一直都热爱发明，但也经常捅出漏子，他们既是熟练的工程师，也是舌绽莲花的商人。,地精,,地精,,6291716,2204,172,15007,1096,623714,319097,651558,0,0,0,0,0,0,0,1,10,8,0,0,0,0,0,0,0.1,0,0,0.09,0,1,7,1,22,0,4,0,0,-1,0,-1,0,-1,0,-1,0,0
10,Be,BloodElf,血精灵,血精灵,血精灵,血精灵,辛多雷,,辛多雷,,血精灵是一场残酷战争的幸存者，他们从充满魔力的太阳井中汲取力量，以重建自己的王国。,精灵,,精灵,,6291596,1610,162,15007,1096,623714,131921,651558,0,0,0,0,0,0,0,1,9,9,0,0,0,0,0,0,0.087,0,0,0.087,0,1,7,1,11,0,8,0,0,-1,0,-1,0,-1,0,-1,0,0
11,Dr,Draenei,德莱尼,德莱尼,德莱尼,德莱尼,德莱尼,,德莱尼,,德莱尼逃离恶魔的腐蚀后，为了守护艾泽拉斯而献出自己的力量。,德莱尼,,德莱尼,,6291598,1629,163,15007,1096,623712,131934,651555,0,0,0,0,0,0,0,1,0,10,0,0,0,0,0,0,0,0,0,0,0,7,7,0,10,0,2,0,0,-1,0,-1,0,-1,0,-1,0,0
12,Fo,FelOrc,邪兽人,邪兽人,邪兽人,邪兽人,,,,,,,,,,262149,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
13,Na,Naga_,纳迦,纳迦,纳迦,纳迦,,,,,,,,,,1,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
14,Br,Broken,破碎者,破碎者,破碎者,破碎者,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
15,Sk,Skeleton,骷髅,骸骨,骷髅,骷髅,,,,,,,,,,1,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,5,0,5,1,5,0,5,1,0,0
16,Vr,Vrykul,维库人,维库人,维库人,维库人,,,,,,,,,,9,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
17,Tu,Tuskarr,海象人,海象人,海象人,海象人,,,,,,,,,,262145,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
18,Ft,ForestTroll,森林巨魔,森林巨魔,森林巨魔,森林巨魔,,,,,,,,,,15,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
19,Wt,Taunka,牦牛人,牦牛人,牦牛人,牦牛人,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
20,NS,NorthrendSkeleton,诺森德骷髅,诺森德骷髅,诺森德骷髅,诺森德骷髅,,,,,,,,,,5,1,0,15007,1096,0,0,0,0,0,0,0,0,0,0,1,0,-1,0,0,0,0,0,0,0,0,0,0,0,7,7,2,0,0,0,0,0,-1,0,-1,0,-1,0,-1,0,0
