Name_lang,Description_lang,ID,Flags,Field_12_0_0_63534_004,Field_12_0_0_63534_005,Field_12_0_0_63534_006
Tiger Test NI,"Initiative is used in Unit Testing, Ask Tiger Lu before changing values",1,1,100,0,-1
最佳行動計畫,這是最好的,6,1,0,90931,0
Test Initiative - Not as good as the last one,還算可以,7,1,0,90934,1
良好行動計畫,或許不算太好,9,1,0,90935,0
[DNT] With Regards to Sporeggar,"[DNT] The farmers and cultivators of the Neighborhood are struggling to produce good soil for this seasons crop rotation. Sympathetic to their plight, the Cenarion Circle has recommended reaching out to a small farming village on the outskirts of Zangarmarsh...",10,1,0,90973,0
[DNT] Deeperholm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,11,1,0,90973,0
[DNT] You Take Candle,[DNT] The neighborhood is having difficulties keeping their lanterns alight and is in dire need of lighting upgrades. Seek out the Kobolds of the Ringing Deeps and seek their counsel on exterior illumination.,12,1,0,91278,0
咕嚕摩的朋友,維護一個家可不容易！大家一定都需要提神一下。因此，我們去找了崑萊峰的咕嚕摩，他會釀造一種名為卡法的特殊飲料，能讓你再次打起精神。,13,0,0,91362,0
[DNT] Holm Sweet Holm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,14,1,0,91396,0
藝術救助,有個血精靈藝文團體的基地遭到攻擊，於是跑來社區避難，並且想要與社區分享他們的藝術創作。,15,0,0,91633,0
超越一切可能,有個半龍人最近重新自我覺醒，並選擇了自己的人生道路。他的學習熱情有助於鼓勵社區居民學習新的專業技能。,16,0,0,92151,0
中度機械化,機械岡的機械地精來這裡協助社區進行技術升級。,17,0,0,92687,0
聯合團驚奇小隊,聯合團正在社區協助當地居民找回失落在虛空倉庫中的物品。,18,0,0,93941,0
嗅覺,鼴鼠人在社區中協助處理花粉問題，你可以和他們合作，讓社區的植物長得更茂盛。,19,0,0,94009,0
