Text_lang,Text1_lang,ID,LanguageID,ConditionID,EmotesID,Flags,ChatBubbleDurationMs,VoiceOverPriorityID,SoundKitID[0],SoundKitID[1],EmoteID[0],EmoteID[1],EmoteID[2],EmoteDelay[0],EmoteDelay[1],EmoteDelay[2]
救命啊!我動不了了!,,1,0,0,0,70,0,0,0,0,0,0,0,0,0,0
自毀程序已啟動。,,3927,0,0,0,69,0,0,0,0,0,0,0,0,0,0
讓火焰淨化一切！,,9426,0,0,0,71,0,0,8046,0,0,0,0,0,0,0
,來吧，這邊走。,15708,7,0,0,68,0,0,0,44118,0,0,0,0,0,0
夠了，獸人！下來投降或接受死亡！,夠了，獸人！下來投降或接受死亡！,33630,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
,別擋我們的路，蠢貨們！,33631,0,8193,0,69,0,0,0,0,0,0,0,0,0,0
生命終將殞落。,,33996,0,0,0,65,0,0,0,0,0,0,0,0,0,0
我只盡我的本分。,,33997,0,0,0,65,0,0,0,0,0,0,0,0,0,0
你的時間用盡了。,,34001,0,0,0,65,0,0,0,0,0,0,0,0,0,0
或許是你們在天性上的缺陷--也因此賦予你們自由的意志--使你們得以與宇宙運行的法則所抗衡。你達成了泰坦的完美造物也無法完成的使命。,,34012,0,0,0,65,0,0,0,0,0,0,0,0,0,0
,隊長！右舷發現了船難的殘骸！看來似乎有生還者！,39672,0,0,0,71,0,0,0,20916,0,0,0,0,0,0
別胡思亂想了！我們很快就會開始殺獸人了。,,41964,0,0,1,71,0,0,21208,0,0,0,0,0,0,0
排好隊！,,41984,0,0,22,71,0,0,21205,0,0,0,0,0,0,0
海平線上的島就是我們的目的地。,,42092,0,0,1,71,0,0,21185,0,0,0,0,0,0,0
我們會在那裡為國王履行職責，為了暴風城和她的人民...,,42093,0,0,1,71,0,0,21186,0,0,0,0,0,0,0
地獄吼派出了他的精銳來搶奪這個島嶼。我們要確保他們沒有人能活著回去...,,42095,0,0,1,71,0,0,21188,0,0,0,0,0,0,0
暴風城永不會陷落！,,42097,0,0,53,71,0,0,21190,0,0,0,0,0,0,0
,去吧，我的納迦!迎接強大的獵潮者來到艾澤拉斯!,42407,0,0,1,118,0,0,0,18874,0,0,0,0,0,0
你和你的鱗片小蟲們不配當我的對手...,,42434,0,0,0,118,0,0,19457,0,0,0,0,0,0,0
,愚蠢的傢伙!今天就是你的忌日!,42435,0,0,15,118,0,0,0,18875,0,0,0,0,0,0
你們挑戰了我的極限，小蛇。你們將會為你們的侵入付出慘痛的代價。,,42518,0,0,0,118,0,0,19463,0,0,0,0,0,0,0
,來我這，僕從們!立刻攻擊!,42545,0,0,15,118,0,0,0,18876,0,0,0,0,0,0
,就是現在!放出海怪!,44211,0,0,15,118,0,0,0,18877,0,0,0,0,0,0
啊啊啊啊...,,44212,0,0,0,118,0,0,19464,0,0,0,0,0,0,0
,跟著我，寵物們!奈普圖隆的領域終於成為我們的了!,44213,0,0,15,118,0,0,0,18878,0,0,0,0,0,0
現在呢，老朋友?,,44214,0,0,1,118,0,0,21217,0,0,0,0,0,0,0
我們打了場悲劇性的敗仗。,,44215,0,0,396,118,0,0,19526,0,0,0,0,0,0,0
我們世界未來的任何希望都更加渺茫了。,,44216,0,0,396,118,0,0,19527,0,0,0,0,0,0,0
必須讓索爾知道今天發生的事情。,,44217,0,0,396,118,0,0,19528,0,0,0,0,0,0,0
他會引領我們接下來的步伐...,,44218,0,0,396,118,0,0,19529,0,0,0,0,0,0,0
伊魯納克!不!!,,44219,0,0,1,118,0,0,21218,0,0,0,0,0,0,0
呃啊啊啊...,,44220,0,0,396,118,0,0,19530,0,0,0,0,0,0,0
,你是人民真正的英雄，黎姆。不像其他的貴族。我們會讓他們付出代價。,44223,0,0,0,71,0,0,0,19686,66,0,0,0,0,0
那現在呢，薩滿?,,44225,0,0,1,118,0,0,21319,0,0,0,0,0,0,0
伊魯納克!你的後面!,,44226,0,0,1,118,0,0,21320,0,0,0,0,0,0,0
願聖光祝福我們祖先的靈魂，他們讓我的兒子能長眠於這片神聖的土地。,,50471,0,0,1,71,0,0,19713,0,0,0,0,0,0,0
就在這裡，他被屬於他的吉爾尼斯英雄和愛國者所圍繞。,,50472,0,0,1,71,0,0,19714,0,0,0,0,0,0,0
我們會回來的，黎姆，我發誓。,,50473,0,0,66,71,0,0,19715,0,0,0,0,0,0,0
吉爾尼斯會永遠記得你的勇氣，黎姆。,,50477,0,0,66,71,0,0,19497,0,0,0,0,0,0,0
很抱歉騙了你，但是我必須這麼做。,,56129,0,0,0,70,0,0,28571,0,0,0,0,0,0,0
幾千年來，我們從沒見過你們這一類人。,,56130,0,13211,0,70,0,0,28572,0,0,0,0,0,0,0
我不得不先評量你和你的心胸氣度。,,56131,0,0,0,70,0,0,28573,0,0,0,0,0,0,0
跟我一起來吧，小傢伙。有些事情我要你看看。,,56154,0,0,0,70,0,0,28574,0,0,0,0,0,0,0
我們要把這地方給變成下水坑，嘿。,,57715,0,0,0,70,0,0,30625,0,5,0,0,0,0,0
[NOTE: Many placeholder visuals in this cinematic. Expecting Observatory WMO & charge up visuals.],,57899,0,0,0,70,0,0,0,0,0,0,0,0,0,0
跑啊，滑魚！我把你拿來當早餐吃！,,58170,0,0,0,70,0,0,0,0,0,0,0,0,0,0
我是安杜因‧烏瑞恩，暴風城的王子。我不會在這裡，像這樣死去！,,58171,0,0,0,70,0,0,27577,0,0,0,0,0,0,0
為了潘達利亞！,,59411,0,15760,4,70,0,0,31905,0,0,0,0,0,0,0
,成功了！傷口開始癒合了！,60365,0,0,1,69,0,0,0,27417,0,0,0,0,0,0
,我們冒了很大的風險，好在成功了。神真子不會有事了。,60627,0,0,1,69,0,0,0,27418,0,0,0,0,0,0
我們的故事，從久遠之前，可怕的梓安帝的時代就開始了。,,61462,0,0,0,68,0,0,0,0,1,0,0,0,0,0
