ID,Name_lang,Location_lang,Description_lang,MapPos[0],MapPos[1],WorldPos[0],WorldPos[1],GarrTypeID,GarrMissionTypeID,GarrFollowerTypeID,MaxFollowers,MissionCost,MissionCostCurrencyTypesID,OfferedGarrMissionTextureID,UiTextureKitID,EnvGarrMechanicID,EnvGarrMechanicTypeID,PlayerConditionID,GarrMissionSetID,TargetLevel,TargetItemLevel,MissionDuration,TravelDuration,OfferDuration,BaseCompletionChance,BaseFollowerXP,OvermaxRewardPackID,FollowerDeathChance,AreaID,Flags,AutoMissionScalar,AutoMissionScalarCurveID,AutoCombatantEnvCasterID
2,大量小戈隆,霜壁走廊,小戈隆对这一地区构成了威胁。我们应该与霜狼氏族合作，削减他们的数量。某个人甚至可能因此加入我们的事业……,0,0,0,0,2,3,1,1,0,824,0,101,0,23,26253,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
3,搜索登陆点,炽燃冰川,我们应该好好搜索一下逃出塔纳安丛林时所乘的船只，上面肯定会有一些有用的东西！,0,0,0,0,2,3,1,1,5,824,0,101,0,23,26251,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
5,小戈隆残骸,要塞地洞,要塞地下的洞穴里发现了小戈隆的骨骼。你的炼金师们很希望把它们挖出来作为研究之用。,0,0,0,0,2,18,1,1,10,824,0,0,0,24,26539,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
6,肃霜虐狼者,肃霜丘陵,冰风雪原东面的肃霜食人魔竟敢公然虐待霜狼。这种行为决不能接受！,0,0,0,0,2,3,1,1,10,824,0,101,0,12,26320,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
7,石怒崖救援行动,石怒崖,有报告称石怒崖发生了一桩血腥的大屠杀！快去赶走那些霜喙食腐鸟，营救受伤的盟友吧！,0,0,0,0,2,3,1,1,10,824,0,101,0,15,28567,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
36,冰冻药水,冰风雪原,一名斥候在雪地里发现了一箱冰冻的雷神药水。找到它们有助于你的炼金师了解德拉诺的各种炼金材料。,0,0,0,0,2,18,1,1,10,824,0,0,0,23,26539,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
42,把战利品给我,拍卖行,抢占战利品,0,0,0,0,2,4,1,1,0,824,0,0,0,23,26539,26,90,400,7,0,999999999,50,5,0,0,0,1,1,0,0
43,霜火岭巡逻,冰风雪原,This is Matt's test mission *bugles and horns blair a triumphant tune*,0,0,0,0,3,13,1,3,0,824,0,101,0,29,26539,26,90,0,10,0,9999999,0,100,0,0,0,0,1,0,0
44,天空的威胁,霜壁走廊,来自炽燃冰川的双头飞龙攻击了我们的补给车队。我们必须保证物流通畅！,0,0,0,0,2,3,1,1,0,824,0,101,0,15,26252,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
45,食人魔药剂,炽燃冰川,炽燃冰川的食人魔在去探索霜火岭的丘陵时，都会带着大包的补给。那里面或许会有新型药水。,0,0,0,0,2,18,1,1,10,824,0,0,0,23,5703,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
54,没你的份,可怜的房子,快跑！！,0,0,0,0,2,4,1,1,0,824,0,0,0,23,26539,26,90,400,7,0,60,0,5,0,0,0,0,1,0,0
55,山里有兽人！,兽人山脉,杀掉山里的兽人。,0,0,0,0,2,13,1,3,0,824,0,101,0,21,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
56,沙漠里有食人魔！,食人魔沙漠,杀掉沙漠里的食人魔。,0,0,0,0,2,25,1,3,0,824,0,103,0,22,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
57,雪地里的亡灵,亡灵雪地,杀掉雪地里的亡灵,0,0,0,0,2,24,1,3,0,824,0,104,0,23,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
58,地下的鸦人,鸦人地穴,杀掉地下的鸦人。,0,0,0,0,2,23,1,3,0,824,0,106,0,24,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
59,丛林里的野兽,野兽丛林,杀掉丛林里的野兽。,0,0,0,0,2,18,1,3,0,824,0,107,0,25,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
60,森林里的恶魔,恶魔森林,杀掉森林里的恶魔。,0,0,0,0,2,19,1,3,0,824,0,105,0,26,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
61,城镇里的毁灭者,毁灭者城镇,杀掉城镇里的毁灭者。,0,0,0,0,2,20,1,3,0,824,0,102,0,27,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
62,沼泽里的元素之怒,元素之怒沼泽,杀掉沼泽里的元素之怒。,0,0,0,0,2,21,1,3,0,824,0,101,0,28,26539,18,90,0,8,0,9999999,100,100,0,0,0,0,1,0,0
63,平原上的原兽,原兽平原,杀掉平原上的原兽。,0,0,0,0,2,22,1,3,0,824,0,106,0,29,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
64,首要任务,戈尔隆德,黑石铸造厂里的万千箴言之剑必须被摧毁。快动手吧，兄弟。,0,0,0,0,2,3,1,1,0,824,0,0,0,21,26539,18,90,0,600,0,9999999,0,200,0,0,0,0,1,0,0
65,守夜人,要塞边界,在要塞周围安排定期巡逻似乎是一个不错的主意……,0,0,0,0,2,13,1,1,5,824,0,106,0,26,27657,20,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
66,杀死腐化的野兽,诅咒林地,被腐蚀的野兽一直是诅咒林地中最大的祸害。坠星哨兵请求我们帮忙让这些可怜的生物从痛苦中解脱。,0,0,0,0,2,3,1,1,0,824,0,106,0,26,26601,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
67,突袭雷神岗哨,巨灵之殁,我们可以派一些精英去突袭巨灵之殁的雷神岗哨！快去夺取胜利吧。,0,0,0,0,2,3,1,3,10,824,0,101,0,11,28566,12,90,0,3600,0,0,65,200,0,0,0,1,1,0,0
73,清扫公厕,厕所,你最好不要输掉跟清洁工打的赌。,0,0,0,0,2,6,1,1,0,824,0,101,0,28,29014,29,90,0,300,0,86400,100,0,0,0,0,0,1,0,0
86,搜索登陆点,日暮港,我们应该好好搜索一下逃出塔纳安丛林时所乘的船只，上面肯定会有一些有用的东西的！,0,0,0,0,2,3,1,1,5,824,0,106,0,26,26958,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
87,守夜人,要塞边界,在要塞周围安排定期巡逻似乎是一个不错的主意……,0,0,0,0,2,13,1,1,5,824,0,101,0,23,28319,20,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
88,天空的威胁,月花谷,来自月花谷的坠月渡鸦攻击了我们的补给车队。我们必须保证物流通畅！,0,0,0,0,2,3,1,1,0,824,0,106,0,15,28564,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
