OverrideName_lang,OverrideSubtext_lang,OverrideDescription_lang,ID,SpellID,OverrideIcon,OverridesSpellID,VisibleSpellID
,,,10579,0,135936,0,0
,,,10612,0,135936,0,0
,,,10644,0,135936,0,0
,,,10647,263716,0,0,0
,,,10650,0,135936,0,0
,,,10687,373455,0,0,0
,,,10700,0,135936,0,0
,,,10705,0,135936,0,0
,,,11049,205636,0,0,0
,,,11149,155675,0,0,0
,,複數製造會額外製作最多$ev1%的藥水。,24833,0,0,0,0
,,製作藥水時，+$ev1點$en1。,24834,0,0,0,0
,,學習$@spellname370668。,24835,370668,0,0,0
,,製作藥水時，+$ev1%$en1。,24836,0,0,0,0
,,製作藥水時，+$ev1點$en1。,24837,0,0,0,0
批次生產,,更有效率地精通製造藥水的技術，在此專精中每投入1點，獲得$ev1點$en1。,24838,0,4624378,0,0
,,學習$@spellname370745，以便產出更高品質的藥水，並提高發現新配方的機率。,24839,370745,0,0,0
,,藥水實驗的突破機率提高5%。,24840,0,0,0,0
,,每次在藥水實驗獲得重大突破後，製作所有鍊金術商品時，獲得+20點精妙，持續4小時。,24841,0,0,0,0
,,藥水實驗的突破機率提高5%。,24842,0,0,0,0
,,藥水實驗的突破機率提高10%。,24843,0,0,0,0
藥水實驗,,進一步了解材料，提高實驗得出理想結果的可能性，在此專精中每投入1點，藥水實驗的突破機率+1%。,24844,0,4624379,0,0
,,學習製作與使用$@spellname370735最後加工材料，可在製作藥水大鍋和快捷鍊金石時提高技能。,24845,370735,0,0,0
,,學習最後一項次要專精。,24846,0,0,0,0
,,製作藥水時，+$ev1點$en1。,24847,0,0,0,0
,,學習一項你所選擇的次要專精。,24848,0,0,0,0
,,製作藥水時，+$ev1點$en1。,24849,0,0,0,0
,,製作藥水時，+$ev1點$en1。,24850,0,0,0,0
藥水知識,,深入鑽研藥水和相關鍊金石的奧秘，在此專精中每投入1點，獲得+$ev1點$en1。,24851,0,4624657,0,0
,,學習製作與使用$@spellname370735最後加工材料，可在製作風系藥水時提高技能。,24852,370735,0,0,0
,,製作風系藥水時，+$ev1點$en1。,24853,0,0,0,0
,,製作風系藥水時，+$ev1點$en1。,24854,0,0,0,0
,,提高消耗巨龍群島藥水時賦予的移動速度。,24855,0,0,0,0
,,製作風系藥水時，+$ev1點$en1。,24856,0,0,0,0
,,製作風系藥水時，+$ev1點$en1。,24857,0,0,0,0
,,消耗巨龍群島藥水後，將會暫時提高移動速度。,24858,0,0,0,0
風系藥水,,製作以喚醒之風或覺醒之風為基本材料的藥水時獲得強化，在此專精中每投入1點，獲得+$ev1點$en1。,24859,0,4497566,0,0
,,學習製作與使用$@spellname370735最後加工材料，可在製作冰霜系藥水時提高技能。,24860,370735,0,0,0
,,製作冰霜系藥水時，+$ev1點$en1。,24861,0,0,0,0
,,製作冰霜系藥水時，+$ev1點$en1。,24862,0,0,0,0
,,提高消耗巨龍群島藥水時賦予的治療效果。,24863,0,0,0,0
,,製作冰霜系藥水時，+$ev1點$en1。,24864,0,0,0,0
,,製作冰霜系藥水時，+$ev1點$en1。,24865,0,0,0,0
,,消耗巨龍群島藥水後，將會持續恢復一部分的生命力。,24866,0,0,0,0
冰霜系藥水,,製作以喚醒之霜或覺醒之霜為基本材料的藥水時獲得強化，在此專精中每投入1點，獲得+$ev1點$en1。,24867,0,4497591,0,0
,,學習最後一項次要專精。|n|n學習使用催化最後加工材料來製作藥水和快捷鍊金石的配方。,24868,0,0,0,0
,,製作藥水時，+$ev1點$en1。,24869,0,0,0,0
,,學習一項你所選擇的次要專精。,24870,0,0,0,0
,,收回藥水可賦予額外的鍊金溶液。,24871,0,0,0,0
,,學習一項你所選擇的次要專精。,24872,0,0,0,0
,,製作藥水時，+$ev1點$en1。,24873,0,0,0,0
,,延長非戰鬥藥水的持續時間。,24874,0,0,0,0
