Code,FormatShort_lang,FormatLong_lang,LicenseAcceptText_lang,ID,NumericCode,Field_1_15_1_53009_006,Field_1_15_1_53009_007
USD,$%s,$%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,1,840,16,833
GBP,£%s,£%s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,2,826,16,836
KRW,%s*,%s戰網幣,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:9|h|cff71d5ff銷售協議，|r|h|HurlIndex:8|h|cff71d5ff退款規定|r|h，與|HurlIndex:13|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,3,410,48,834
EUR,€%s,€%s,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,4,978,16,836
RUB,%sp.,%sp.,點擊下方的「立即付款」按鈕即表示您已經同意了|HurlIndex:16|h|cff71d5ff銷售協議|r|h，並且會立刻寄送購買的物品。當寄送程序開始之後，您便無法放棄購買物品。,5,643,16,836
COP,$%s,$%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,6,170,4,833
PEN,S/.%s,S/.%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,7,604,4,833
ARS,$%s,$%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,8,32,0,833
CLP,$%s,$%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,9,152,0,833
MXN,$%s,$%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,10,484,0,833
BRL,R$%s,R$%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,11,986,0,833
AUD,$%s,$%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,12,36,0,833
SGD,$%s,$%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:14|h|cff71d5ff銷售協議|r|h與|HurlIndex:15|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,13,702,0,833
CPT,%s*,%s戰網幣,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:18|h|cff71d5ff銷售協議|r|h與|HurlIndex:19|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,14,15,32,848
TPT,NT$%s,NT$%s,用戶確認聲明：點擊下方的「立即購買」按鈕即表示本人已經閱讀並同意與本交易相關的條款和條件(包括|HurlIndex:10|h|cff71d5ff銷售協議|r|h與|HurlIndex:20|h|cff71d5ff隱私權政策|r|h)，並確認進行購買。,15,16,36,840
XTS,%s XTS,%s XTS,,16,963,2,960
XHG,,,,17,17,7,0
XXX,,,,18,999,7,0
XSG,,,,19,19,7,0
XPG,,,,20,20,7,0
XTU,,,,21,21,2,0
XTE,,,,22,22,2,0
XTK,,,,23,23,2,0
XTW,,,,24,24,2,0
XTC,,,,25,25,2,0
XDC,,,,26,26,7,0
XTX,,,,27,28,2,0
