ActivityName_lang,Description_lang,ID,CriteriaTreeID,ThresholdContributionAmount,Supersedes,Priority
完成30个任务,完成可提供经验值的任务。,3,135693,200,0,0
击败50个地下城首领,击败可以提供经验值的地下城首领。,4,135695,200,0,0
冬幕节：获得一顶精心缝制的节日帽子,{EventStartDate}到{EventEndDate}期间，获得精心缝制的节日帽子,5,135697,50,0,-100
完成5个史诗钥石地下城,,6,135699,200,0,7
完成15个世界任务,,7,136176,150,0,0
消灭10个“巨龙时代”团队副本首领,,8,136202,200,0,0
在史诗难度下消灭任意“巨龙时代”团队副本首领,,9,136211,200,0,0
获得7500点荣誉点数,,10,136220,200,0,0
赢得5次战场胜利,,11,136222,200,0,0
赢得10次非练习赛的竞技场比赛,,12,136224,200,0,0
完成制造订单,在瓦德拉肯的匠人集市与制造订单办事员交谈,13,136242,200,0,0
赢得15场宠物对战,,14,136244,200,0,0
在跨阵营队伍中击败地下城首领,在跨阵营队伍中击败可以提供经验值的地下城首领。,16,136248,150,0,0
在诺森德完成任务,,17,136250,100,0,0
完成5个“巫妖王之怒”时空漫游地下城,,18,136265,250,0,0
击败巫妖王,在冰冠堡垒消灭巫妖王。,19,136286,50,0,0
完成奥特兰克山谷战场,,20,136288,100,0,0
战斗宠物周：使用一个小助手击败所有诺森德的驯宠大师,{EventStartDate}到{EventEndDate}期间，使用至少一个小助手击败所有诺森德的驯宠大师,21,136291,75,0,-110
时空漫游：在诺森德钓鱼,{EventStartDate}到{EventEndDate}期间，在诺森德钓起物品。,22,136300,100,0,0
对拉格纳罗斯使用表情/颤抖（/shiver）,对熔火之心的拉格纳罗斯使用表情/寒冷（/cold）。,23,136323,25,0,0
冬幕节：穿着对应节日的服饰，在节日之树下跳舞,{EventStartDate}到{EventEndDate}期间，穿着冬季套装，和另一名玩家在节日的树下跳舞。,24,136325,50,0,-100
消灭100个冰元素,,25,136327,100,0,0
暗月马戏团：完成“目标：乌龟”,12月3日到12月9日期间，在暗月岛上完成“目标：乌龟”任务。,26,136357,50,0,-62
冬幕节：消灭3个节日首领,{EventStartDate}到{EventEndDate}期间，消灭以下首领里的三个,27,136359,50,0,-100
云游节：参加云游节,{EventStartDate}到{EventEndDate}期间，在卡桑琅丛林的海龟沙滩参加云游节。,28,136364,100,0,-70
云游节：放出一盏灯笼并阅读《等待海龟》,{EventStartDate}到{EventEndDate}期间，在卡桑琅丛林的云游节放出一盏灯笼并阅读《等待海龟》。,29,136366,75,0,-70
暗月马戏团：乘坐旋转木马或者过山车后食用玉米香肠,12月3日到12月9日期间，在暗月马戏团乘坐旋转木马或者过山车，并食用玉米香肠。,30,136369,25,0,-62
消灭对立阵营领袖,,31,136449,400,0,0
探索一个冰天雪地的区域,彻底探索以下一个地区。,32,136527,50,0,0
完成5个跨阵营战场,,33,136652,150,0,0
冬幕节：获得“冻死了”,{EventStartDate}到{EventEndDate}期间，使用考格雷什的冷却用品，获得“冻死了”,34,136855,25,0,-100
时空漫游：在德拉诺完成任务,{EventStartDate}到{EventEndDate}期间，在德拉诺完成任务。,36,149949,100,0,0
