ID,Text_lang
2,食屍鬼本身雖然既脆弱又愚蠢，但做為黯刃騎士團的砲灰，能妥善扮演牽制敵人、以量取勝的角色。
3,魂屍體質脆弱但十分靈活，能夠登上垂直的牆壁，越過崎嶇不平的表面，攻其不備。
4,巫妖王讓黯刃騎士死而復生，為的只有一個目的：殺戮，或者被殺。
5,黯刃劫毀者是經驗豐富的老兵，參與過無數戰役，殺死過無數敵人。他們是黯刃騎士團英勇無畏的象徵。
6,灰舌破碎者因暴露於魔化能量而扭曲退化之後，他們東躲西藏，無所不用其極，掙扎求生，不論是暗中刺殺或公然宣戰。
7,考斯卡納迦過去曾效忠於瓦許女士和凱爾薩斯，其成員無一不是訓練精良的強大戰士，令人聞風喪膽。
8,伊利達瑞惡魔獵人犧牲其精靈的身分，借來惡魔之力，只為更有效率地消滅燃燒軍團。
9,最高階的伊利達瑞在外形和力量上幾乎與惡魔相差無幾，他們能化身為黑暗的有翼生物，消滅眼前的敵人。
10,森林遭受威脅時，樹木就會活過來，保衛自己的家園。
11,外型上如精靈、下如幼鹿的林精是塞納留斯之女。他們在和平時期既溫和又愛玩鬧，但是對傷害大自然的惡徒則絕不寬容，誓必追殺到底。
12,利爪德魯伊是出神入化的變形大師，藉由熊靈之力化身野獸，以強大的蠻力和克敵制勝。
13,林地看守者是塞納留斯的後裔，外表半人半鹿，一隻手長有利爪，宛如交錯的樹枝，驅使極為強大的自然之力。
14,弓箭手擁有高超的箭術，經常從遠方支援步兵部隊。整群弓箭手集火攻擊單一目標或集中一處的敵人時，效果最佳。
15,隱獵神射手個個箭術爐火純青，在幾乎看不見敵人的情況中也能準確命中要害。
16,不論天候再惡劣、足跡再隱密，隱獵追蹤者都能緊跟著獵物，並在找到之後除掉敵人。
17,雖然所有獵人都有野外求生技巧，但探路者才真正完全融入荒野。他們不僅選擇了這個生活方式，善用地形優勢擊潰敵軍的能力更是無人能比。
18,雖然多數法師都認為元素捉摸不定，但數百年來，冰霜法師一直視水元素為他們的得力助手。
19,秘法魔像由專業石匠和金屬工匠鑄造而成，再以強大魔力使其甦醒。魔像具備強大蠻力，用以保護法師的安全。
20,提里斯護法只徵募最具天賦的施法者成為學徒，因此就算是其中的新人，也比其他組織的大師強上許多。
21,祈倫托塑能師是精通秘法與元素魔法的精英高手，技藝超群，而且人才輩出，包括麥迪文的父親聶拉斯‧埃蘭。
22,「肉體力量來自於外力鍛鍊，但韌性卻是由內而生。」- 怒西昂
23,玄牛高手受過專業的戰鬥訓練，以無比的耐性戰勝多數對手，發誓要將一己之力用於保護弱者。
24,玄牛武僧一向堅韌，但只有最堅定的人才配擁有大師之名，這些大師通常必須面對並克服內心最大的恐懼。
25,「匹夫之勇和王者之力，有雲泥之別。」- 白虎雪怒
26,白虎高手技藝高超。他們的拳法快如閃電，而且深知伺機而動遠比一味追求威力更為重要。
27,白虎之道的大師永遠沉著冷靜，擁有無與倫比的速度、耐心和威力。他們畢生致力於運用內在力量來幫助他人。
