ID,Description_lang,SoulbindID,CreatureDisplayInfoID,ModelSceneActorID,TextureKitID,OrderIndex,GlobalOrderIndex,ActivationSoundKitID
1,尼娅是一位希尔梵，她负责保卫并照看林地中的灵种。你们初次相遇的时候，她的林地正在经历惨剧，为了回收其中的心灵，林地被迫面对凋零的命运。在与你同行的途中，尼娅意识到了在心能枯竭中生存的艰难。尼娅是一位出色的猎人和追踪者，她会用自己的能力助你消除枯竭，并应对炽蓝仙野面临的其他威胁。,1,95232,1030,5312,0,6,171896
2,织梦者是一位冷静而安详的妖精，在自然之灵于灵种之内沉眠、静候重生的时候，他能够窥探这些灵魂的梦境。织梦者会帮助你和某个特殊的灵种建立羁绊——那其中沉睡的灵魂需要你的援助。在炽蓝仙野遭到外来势力围攻之际，织梦者的治愈能力将发挥作用。,2,94430,1029,5313,1,7,171898
3,德莱文将军是顽石军团的指挥官，他为雷文德斯效力已有数个纪元之久。他时常身临战场前线，每次都心怀荣誉奋战至最后一刻，也从不会抛弃任何一名士兵。德纳修斯选择与典狱长结盟时，德莱文选择了雷纳索尔的起义军。毕竟，雷文德斯的利益才是最重要的。,3,92399,1031,5314,2,11,171889
4,马里莱斯聪慧过人却举止怪异，玛卓克萨斯最有效的药水多半出自他的手笔。凋零密院被毁时，马里莱斯在事件的余波中失去了理智。他用极具创意的方式调配出的药剂对战局至关重要……就是偶尔会有些副作用。 ,4,94122,1035,5315,0,3,171890
5,艾米妮的构造体身躯是在玛卓克萨斯的缝合场中拼装而成的。生前的她是一位强大的贵族。为了争夺王位，无数兄弟姐妹亡于她手。在你们消灭共同的敌人的过程中，你展示出的力量令她无比钦佩。艾米妮本就是一代传奇，而随着她与噬渊行者缔结了灵魂羁绊，她的恶名很快就将无人不晓。,5,93825,1036,5316,1,4,171892
7,作为荒猎团的一名女猎手，柯莱恩不仅是意志坚强的领袖，还是一位勇猛冲锋的战士。她的使命是应对最危险和最隐秘的威胁，保护森林的安全。除非敌人被消灭、炽蓝仙野重新变得安全，她绝不愿意休息。冬日林谷遭到攻击时，正是靠着柯莱恩的领导才能和坚定决心，他们才赢得了胜利。,6,95248,1037,5317,2,8,171899
9,裴拉戈斯身为晋升堡垒的候选者，一直在为晋升之路刻苦训练，即使面对挑战与逆境也坚强不屈。在你试图觐见执政官、直面弃誓者威胁的旅程中，裴拉戈斯和他的另一位灵魂羁绊伙伴克雷雅很快就和你成为了朋友。在晋升之路上，虽然凡世的过往带来的怀疑和回忆一直困扰着他，但他总是那么愉悦和乐观。,7,94137,1039,5318,0,0,171883
10,海尔米尔是兵主的学徒，也是玛卓克萨斯最古老的凡人灵魂之一。她接受过无数个纪元的训练，是用白骨和钢铁锻造武器与护甲的一流专家。海尔米尔创建的军械库将为你和魂选密院提供精良的装备，以抵御来自各方的敌人。,10,96102,1038,5319,2,5,171894
11,克雷雅是位格里恩晋升者，不过与你相遇时她还是位候选者。在灵魂羁绊伙伴裴拉戈斯及其他格里恩面前，她证明了自己的追求永不止步，并渴望着征服任何试炼。克雷雅是你和裴拉戈斯的亲切指导者，她将竭尽全力地保护朋友和晋升堡垒。,13,94873,1040,5320,1,1,171885
12,米卡尼科斯是晋升堡垒的一位执事者，他在早年就表现出了无量的前途，很快就成为了掌炉宗师。晋升堡垒许多标志性造物主要都出自于他的手中。他意识到了噬渊行者的潜力，也是你宝贵的盟友，对抗心能枯竭，以及其他威胁。,18,96348,1041,5322,2,2,171886
14,娜德佳自称是最伟大的决斗者，她从不安于现状，总是渴望新的冒险。每个麻烦的背后总有娜德佳的身影。她随时都准备着为保卫雷文德斯贡献自己的力量，无论是出于你的命令，还是她本人的乐趣。,8,93210,1042,5327,0,9,171887
15,就算是疯癫错乱，也必须举止得体！虽然被传统的贵族圈子驱逐，但癫狂公爵西塔尔还是组建了自己的流放者之廷。无论是用最爱的茶壶编织魔法，还是驱使泥仆为自己撑伞，西塔尔以自己独一无二的古怪方式驾驭着雷文德斯的惊人力量。,9,93223,1043,5328,1,10,171888
