ID,Name_lang,Location_lang,Description_lang,MapPos[0],MapPos[1],WorldPos[0],WorldPos[1],GarrTypeID,GarrMissionTypeID,GarrFollowerTypeID,MaxFollowers,MissionCost,MissionCostCurrencyTypesID,OfferedGarrMissionTextureID,UiTextureKitID,EnvGarrMechanicID,EnvGarrMechanicTypeID,PlayerConditionID,GarrMissionSetID,TargetLevel,TargetItemLevel,MissionDuration,TravelDuration,OfferDuration,BaseCompletionChance,BaseFollowerXP,OvermaxRewardPackID,FollowerDeathChance,AreaID,Flags,AutoMissionScalar,AutoMissionScalarCurveID,AutoCombatantEnvCasterID
2,到處都是小古羅,霜牆口,小古羅對這個區域造成了威脅。我們應該和霜狼氏族合作降低小古羅的數量，或許他們之後會加入我們的行列。,0,0,0,0,2,3,1,1,0,824,0,101,0,23,26253,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
3,取回登陸物資,燃燒冰川,去搜尋我們逃出塔南森林搭的船應該會相當值得，很有可能會找出一些有用的東西。,0,0,0,0,2,3,1,1,5,824,0,101,0,23,26251,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
5,小古羅粉末,要塞洞穴,要塞後方的洞穴裡找到了小古羅的骨骸。你的鍊金師很想把他挖出來研究一番。,0,0,0,0,2,18,1,1,10,824,0,0,0,24,26539,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
6,嚴霜擊狼者,嚴霜之丘,在冰風雪原東方的嚴霜巨魔對霜狼很不好，不可原諒！,0,0,0,0,2,3,1,1,10,824,0,101,0,12,26320,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
7,石怒崖救援行動,石怒崖,我們收到回報，石怒崖發生了血淋淋的大屠殺！擊潰那些霜喙食腐鳥並把我們的傷者救出來！,0,0,0,0,2,3,1,1,10,824,0,101,0,15,28567,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
36,冰冷的藥水,冰風雪原,斥候在冰雪中找到了一箱雷霆王藥水。取回這箱藥水可以讓你的鍊金師了解德拉諾的鍊金材料。,0,0,0,0,2,18,1,1,10,824,0,0,0,23,26539,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
42,我要寶物,拍賣場,拿走所有東西,0,0,0,0,2,4,1,1,0,824,0,0,0,23,26539,26,90,400,7,0,999999999,50,5,0,0,0,1,1,0,0
43,霜火巡邏,冰風平原,這是麥特的測試任務 *喇叭和號角吹起勝利的曲調*,0,0,0,0,3,13,1,3,0,824,0,101,0,29,26539,26,90,0,10,0,9999999,0,100,0,0,0,0,1,0,0
44,天衛的威脅,霜牆口,來自燃燒冰川的萊拉克正在攻擊我們的補給車隊。物資絕對不能停止運送！,0,0,0,0,2,3,1,1,0,824,0,101,0,15,26252,12,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
45,巨魔的藥劑,燃燒冰川,燃燒冰川的劍刃巨魔到霜火峰的雪丘探險時，通常會帶著一些補給品，其中可能會有新的藥水。,0,0,0,0,2,18,1,1,10,824,0,0,0,23,5703,26,90,0,1800,0,259200,100,100,0,0,0,0,1,0,0
54,沒有你的寶物,破房子,快逃啊！,0,0,0,0,2,4,1,1,0,824,0,0,0,23,26539,26,90,400,7,0,60,0,5,0,0,0,0,1,0,0
55,山上的獸人！,獸人山區,殺死山上的獸人。,0,0,0,0,2,13,1,3,0,824,0,101,0,21,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
56,沙漠裡的巨魔！,巨魔沙漠,殺死沙漠的巨魔。,0,0,0,0,2,25,1,3,0,824,0,103,0,22,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
57,雪地裡的不死族,不死族雪地,殺死雪地裡的不死族。,0,0,0,0,2,24,1,3,0,824,0,104,0,23,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
58,地底的阿拉卡,阿拉卡地底,殺死地下的阿拉卡。,0,0,0,0,2,23,1,3,0,824,0,106,0,24,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
59,叢林裡的野獸,野獸叢林,殺死叢林裡的野獸。,0,0,0,0,2,18,1,3,0,824,0,107,0,25,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
60,森林裡的惡魔,惡魔森林,殺死森林裡的惡魔。,0,0,0,0,2,19,1,3,0,824,0,105,0,26,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
61,城鎮裡的破源者,被入侵的城鎮,殺死城鎮裡的破源者。,0,0,0,0,2,20,1,3,0,824,0,102,0,27,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
62,沼澤裡的怒靈,怒靈沼澤,殺死沼澤裡的怒靈。,0,0,0,0,2,21,1,3,0,824,0,101,0,28,26539,18,90,0,8,0,9999999,100,100,0,0,0,0,1,0,0
63,平原上的源生者,源生者入侵的平原,殺死平原上的源生者。,0,0,0,0,2,22,1,3,0,824,0,106,0,29,26539,18,90,0,8,0,9999999,0,100,0,0,0,0,1,0,0
64,一個任務就搞定他們,格古隆德,一定要在黑石鑄造場摧毀萬千真理之劍。搞定它，小子。,0,0,0,0,2,3,1,1,0,824,0,0,0,21,26539,18,90,0,600,0,9999999,0,200,0,0,0,0,1,0,0
65,守夜人,要塞邊界,在要塞周圍定期巡邏似乎是不錯的點子…,0,0,0,0,2,13,1,1,5,824,0,106,0,26,27657,20,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
66,清除腐化,詛咒森林,腐化的野獸持續在詛咒森林中蔓延開來。墜星哨兵需要我們的協助，結束這些可憐野獸的悲慘命運。,0,0,0,0,2,3,1,1,0,824,0,106,0,26,26601,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
67,雷霆王攻擊行動,巨獸之殞,我們可以派出幾位精英到巨獸之殞，加入攻擊雷霆王崗哨的團隊！為了勝利前進。,0,0,0,0,2,3,1,3,10,824,0,101,0,11,28566,12,90,0,3600,0,0,65,200,0,0,0,1,1,0,0
73,打掃茅坑,廁所,打賭的時候最好不要輸給清潔工。,0,0,0,0,2,6,1,1,0,824,0,101,0,28,29014,29,90,0,300,0,86400,100,0,0,0,0,0,1,0,0
86,取回登陸物資,靜潮臺,去搜尋我們逃出塔南森林搭的船應該會相當值得，很有可能會找出一些有用的東西。,0,0,0,0,2,3,1,1,5,824,0,106,0,26,26958,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
87,守夜人,要塞邊界,在要塞周圍定期巡邏似乎是不錯的點子…,0,0,0,0,2,13,1,1,5,824,0,101,0,23,28319,20,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
88,天衛的威脅,月花谷,來自月花谷的落月烏鴉正在攻擊我們的補給車隊。物資絕對不能停止運送！,0,0,0,0,2,3,1,1,0,824,0,106,0,15,28564,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
89,影月攻擊行動,夏茲高,我們可以派出幾位精英到夏茲高，加入攻擊影月崗哨的團隊！為了聯盟！,0,0,0,0,2,3,1,3,10,824,0,106,0,11,26960,28,90,0,3600,0,0,65,200,0,0,0,1,1,0,0
90,靈龍好朋友,幻光沼澤,秘法異常體危害了幻光沼澤靈龍的生存，不可原諒！,0,0,0,0,2,3,1,1,10,824,0,106,0,19,28565,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
91,營救遊俠,夏茲高,影月氏族已經抓走了好幾個遊俠和聯盟俘虜，入侵並營救他們！,0,0,0,0,2,3,1,1,10,824,0,106,0,11,26963,28,90,0,1800,0,9999999,65,100,0,0,0,0,1,0,0
107,野蠻的部族,納葛蘭,古羅和巨魔合作，從兩方面同時夾擊我們。我們必須要破壞他們的陰謀，否則就只能等著被殲滅了。,0,0,0,0,2,3,1,3,15,824,0,104,0,29,32928,30,100,0,36000,0,129600,0,1500,0,0,0,0,1,0,0
