ID,Name_lang,Description_lang,MapID,BackgroundFileDataID,ButtonFileDataID,ButtonSmallFileDataID,LoreFileDataID,Flags,AreaID,CovenantID
63,死亡礦坑,據說死亡礦坑的黃金礦藏曾使暴風城積聚的財富增加三分之一。在第一次獸人戰爭之中，礦坑遭到廢棄，還曾經冒出鬧鬼的傳說，導致該處一直荒廢。直到近來，才有一群落草為寇的勞動群眾組成迪菲亞兄弟會，前來佔據這座迷宮，作為他們對暴風城展開破壞行動的根據地。,36,522336,522352,136332,526404,1,1581,0
64,影牙城堡,影牙城堡位於銀松森林南部的懸崖之上，遠眺焚木村，遮蔽出一片與其歷史同樣黑暗的陰影。各種兇惡勢力佔據這片廢墟，先前是被隸屬瘋狂大法師阿魯高的狼人所佔據，現在席瓦萊恩男爵受詛咒的靈魂依然迴盪在堡壘之內，而高佛雷領主和他那些昔日貴族的叛黨也在城堡內計畫著同時對付生者和不死生物的陰謀。,33,522342,522358,136357,526410,0,0,0
65,海潮王座,海潮王座位於遼闊、深不可測的深淵之喉裡。在這神殿中，獵潮者奈普圖隆這名偉大的元素領主長久以來審視並保衛著自己的水之國度。此刻，一群陰毒納迦和兇惡無面者正在陰謀推翻奈普圖隆，國度與其中的秘密也面臨遭人掠奪的危險。,643,522346,522362,460875,526413,1,5382,0
66,黑石洞穴,傳說死亡之翼親自挖鑿出一座地底迷宮，讓暮光之錘可以秘密地將元素從莊嚴的海加爾山送到黑石山，而黑石洞穴就是這個秘密網絡的重要樞紐。在那裡有著該教團的熾烈熔爐，還進行著某些極度窮兇惡極的實驗，例如將教徒轉變成暮光龍人。,645,522334,522350,460859,526402,1,5374,0
67,石岩之心,石岩之心就坐落於大地神殿、也就是地深之源的核心之中。暮光之錘就是在這些洞穴裡，將源質的鎧甲錘在死亡之翼身上，試著將這條守護巨龍的身軀固定在一起。復原之後，死亡之翼飛入艾澤拉斯，擊碎了世界之柱並讓地深之源陷入極不穩定的狀態。,725,522344,522360,460872,526412,1,5303,0
68,漩渦尖塔,漩渦尖塔存在於天空之牆這個元素界域之中。它有著優雅的結構，通體鑲著黃金與青銅，坐落在純粹空氣所連結而成的平台之上。然而，在其無比美麗的外表之下，尖塔裡居住著奈斐賽特的托維爾，以及『馭風者』奧拉基爾手下的無情元素軍團。只要天空之牆和艾澤拉斯之間的屏障一日未關閉，恐怖就會持續從天空降臨到奧丹姆之上。,657,522345,522361,460873,526414,1,5583,0
69,托維爾的失落之城,托維爾的失落之城是奈斐賽特族的堡壘。這群近似貓型的托維爾發誓效忠死亡之翼，以破除將他們岩石外殼轉變成柔軟皮膚的血肉詛咒。消除這痛苦的詛咒之後，托維爾反叛了他們的恩人，但曾經許下的黑暗誓約還是讓他們顯得扭曲且充滿敵意。,755,522341,522357,460866,526409,1,0,0
70,起源大廳,偉大泰坦所打造的起源大廳裡，充滿了古老的聖物和守護這些寶物的駭人守衛。傳說在這迷宮中，存在著一件有能力重塑艾澤拉斯上所有生物的毀滅性武器。死亡之翼已派出他的忠僕『馭風者』奧拉基爾去取得這項恐怖的裝置。目前，該處的通訊系統已完全遭到侵入，但裡面的武器還沒有落入死亡之翼的手中。,644,522340,522356,460865,526408,0,0,0
71,格瑞姆巴托,"不要被格瑞姆巴托簡陋的外表給欺騙。這座山城將大量的汙穢房室埋藏在暮光高地的地底深處。這裡曾是蠻錘矮人的要塞，後來被獸人攻下，充當囚禁雅立史卓莎的監獄;如今，這座城市是暮光之錘教團的指揮中心。

闖入這座堡壘深處的勇敢英雄們，必須與死亡之翼的忠僕對抗，才能擊潰堡壘中神秘的邪惡存在。",670,522338,522354,460863,526406,0,0,0
72,暮光堡壘,暮光堡壘是古神們對艾澤拉斯的掌控日益增長的黑暗象徵。在那座被視為暮光之錘最重要指揮中心的塔樓底下，深藏著暮光之錘的各種部門和其扭曲的領袖:丘加利。在那裡，他和他的奴僕們密謀著該如何摧毀艾澤拉斯的一切理智、希望和生命，來讓古神破壞世界的預言成真。,671,522339,522355,460863,526407,0,0,0
73,黑翼陷窟,自從奈法利安死在黑翼之巢後，人們以為他與他創造新生龍族的扭曲計畫也隨著他的敗亡而消滅。然而，傳聞奈法利安的父親死亡之翼將他復活，並派他進駐黑翼陷窟。如今正在那裡進行的恐怖實驗，更甚奈法利安先前所犯下的違反自然之罪。,669,522335,522351,460860,526403,0,5729,0
74,四風王座,四風王座，『馭風者』奧拉基爾的居所，高懸在天空之牆無垠的天際之上。元素界域和艾澤拉斯之間的屏障破裂之後，奧拉基爾就能自由來去艾澤拉斯之間。他集結了手下最兇惡的暴風，企圖血洗奧丹姆，佔據由泰坦所打造的神秘起源大廳。,754,522343,522359,460874,526411,0,5684,0
